NPartida,Time,Apelido,Momento
192,Vasco da Gama S.a.f. - RJ,Serginho,5' (1ºT)
194,Santos - SP,Marcos Leonardo,17' (2ºT)
194,Santos - SP,Julio Furch,44' (2ºT)
194,Grêmio - RS,Cristaldo,1' (2ºT)
195,Goiás - GO,Alesson,35' (2ºT)
195,Athletico Paranaense - PR,Vitor Roque,38' (1ºT)
196,Cruzeiro Saf - MG,Rafael Papagaio,44' (1ºT)
196,Corinthians - SP,Mosquito,45+7' (2ºT)
197,Fortaleza - CE,Thiago Galhardo,11' (1ºT)
198,Coritiba S.a.f. - PR,Robson,14' (1ºT)
198,Coritiba S.a.f. - PR,Edu,1' (2ºT)
198,Flamengo - RJ,Gabriel Barbosa,19' (1ºT)
198,Flamengo - RJ,Gerson,45+4' (2ºT)
198,Flamengo - RJ,De Arrascaeta,30' (1ºT)
199,Bahia - BA,Vitor Hugo,37' (1ºT)
199,Bahia - BA,Mingotti,14' (2ºT)
199,Bahia - BA,Cauly,38' (2ºT)
199,Bahia - BA,Rezende,8' (1ºT)
200,Palmeiras - SP,Raphael Veiga,30' (1ºT)
200,Palmeiras - SP,Richard Rios,20' (2ºT)
202,Botafogo - RJ,Diego Costa,4' (1ºT)
202,Botafogo - RJ,Diego Costa,6' (2ºT)
202,Botafogo - RJ,Luis Henrique,31' (2ºT)
203,Palmeiras - SP,Raphael Veiga,19' (2ºT)
204,Corinthians - SP,Maycon,37' (2ºT)
204,Goiás - GO,Guilherme,14' (2ºT)
205,Red Bull Bragantino - SP,Thiago Borbas,9' (2ºT)
205,Red Bull Bragantino - SP,Talisson,37' (2ºT)
206,Atlético Mineiro - MG,Paulinho,12' (1ºT)
206,Atlético Mineiro - MG,Paulinho,22' (2ºT)
207,Grêmio - RS,Carballo,8' (2ºT)
207,Grêmio - RS,Pepe,32' (2ºT)
207,Grêmio - RS,Suarez,28' (1ºT)
