NPartida,Time,Substituido,Substituto
54,Corinthians - SP,Yuri Alberto,Felipe Augusto
54,São Paulo - SP,Michel Araujo,Marcos Paulo
54,São Paulo - SP,Gabriel Neves,Luan Silva
54,São Paulo - SP,Wellington Rato,Alisson
54,São Paulo - SP,Luciano,RODRIGUINHO
54,São Paulo - SP,Calleri,Juan
55,Goiás - GO,Willian Oliveira,Bruno
55,Goiás - GO,Julian,Vinicius
55,Goiás - GO,Magno Jose,Pedrinho
55,Goiás - GO,Jackson,Sidimar
55,Goiás - GO,Diego,Alesson
55,Botafogo - RJ,Gustavo,Junior
55,Botafogo - RJ,Tche Tche,Lucas
55,Botafogo - RJ,Joao Victor,Luis Henrique
55,Botafogo - RJ,Luis Segovia,Carlos Alberto
56,Atlético Mineiro - MG,Paulinho,Igor Gomes
56,Atlético Mineiro - MG,Vargas,Hulk
56,Atlético Mineiro - MG,Mariano,Bruno Fuchs
56,Atlético Mineiro - MG,Hyoran,Patrick
56,Atlético Mineiro - MG,Pavon,Edenilson
56,Internacional - RS,Matheus,Nicolas Hernandez
56,Internacional - RS,Romulo,Gabriel  Baralhas
56,Internacional - RS,BUSTOS,Lucca
56,Internacional - RS,Luiz Adriano,Alexandre
56,Internacional - RS,Pedro,WANDERSON
57,Grêmio - RS,Thomas Luciano,G. Martins
57,Grêmio - RS,Pepe,Zinho
57,Grêmio - RS,Vina,Mila
57,Grêmio - RS,Bitello,Nathan
57,Grêmio - RS,Cristaldo,Galdino
57,Fortaleza - CE,Calebe,Pochettino
57,Fortaleza - CE,HERCULES,Yago
57,Fortaleza - CE,Caio,Zanocelo
57,Fortaleza - CE,Lucero,Silvio Romero
58,Athletico Paranaense - PR,Christian,Canobbio
58,Athletico Paranaense - PR,Pablo,Willian
58,Athletico Paranaense - PR,David Terans,Vitor Bueno
58,Athletico Paranaense - PR,Khellven,Madson
58,Athletico Paranaense - PR,Pedro Henrique,Ze Ivaldo
59,Bahia - BA,Vitor Hugo,Ademir
59,Bahia - BA,Matheus Bahia,Ryan
59,Bahia - BA,Arthur Sales,Kayky Chagas
59,Bahia - BA,Yago Felipe,Acevedo
59,Flamengo - RJ,Matheus Cunha,Santos
59,Flamengo - RJ,Matheus França,VIDAL
59,Flamengo - RJ,Everton,Bruno Henrique
59,Flamengo - RJ,Thiago Maia,Erick Pulgar
59,Flamengo - RJ,David Luiz,Wesley
60,America Saf - MG,MIKAEL,Renato
60,America Saf - MG,Marcinho,Iago
60,America Saf - MG,Aloisio,Wellington Paulista
60,America Saf - MG,Juninho,Emmanuel Martinez
60,America Saf - MG,Felipe Azevedo,Mateus Gonçalves
60,Cruzeiro Saf - MG,William,Igor Marques Paciencia Cardoso
60,Cruzeiro Saf - MG,Ramiro,Matheus
60,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Stênio
60,Cruzeiro Saf - MG,Henrique Dourado,Gilberto
60,Cruzeiro Saf - MG,Neto,Wallisson
61,Flamengo - RJ,Erick Pulgar,VIDAL
61,Flamengo - RJ,Pedro,Everton
61,Flamengo - RJ,Victor Hugo,Matheus Gonçalves
61,Corinthians - SP,Yuri Alberto,Angel Romero
61,Corinthians - SP,Adson,Wesley
61,Corinthians - SP,Bruno Mendez,Fagner
62,Botafogo - RJ,Luis Henrique,Joao Victor
62,Botafogo - RJ,Rafael,Di Placido
