Clube,Nome,Apelido,Camisa
Atlético Mineiro - MG,Eduardo Jesus Vargas Rojas,Vargas,11
Athletico Paranaense - PR,Eduardo Kogitzki Anastacio,Dudu,0
Coritiba S.a.f. - PR,Eduardo Nascimento da Silva Junior,Edu,0
Palmeiras - SP,Eduardo Pereira Rodrigues,Dudu,7
,Eduardo Santos Queiroz,Eduardo Santos Queiroz,0
Goiás - GO,Eduardo Simioni,Simioni,0
Cuiabá Saf - MT,Eduardo Vinicius Rodrigues dos Santos,Eduardo,0
,Eguinaldo de Sousa Lemos,Eguinaldo,0
Fortaleza - CE,Emanuel Britez,Britez,19
,Emanuel Pereira dos Santos,Emanuel Pereira,0
Internacional - RS,Emerson Fabiano Kerber Junior,Emerson Junior,12
Cuiabá Saf - MT,Emerson Ramon Bezerra Oliveira,Emerson,17
Athletico Paranaense - PR,Emersonn Correia da Silva,Emersonn,0
Palmeiras - SP,Endrick Felipe Moreira de Sousa,Endrick,9
Internacional - RS,Enner Remberto Valencia Lastra,Valencia,0
Bahia - BA,Eric dos Santos do Carmo,Eric,0
Red Bull Bragantino - SP,Eric dos Santos Rodrigues,Eric Ramires,7
Flamengo - RJ,Erick Antonio Pulgar Farfan,Erick Pulgar,0
Athletico Paranaense - PR,Erick Luis Conrado Carvalho,Erick,26
Vasco da Gama S.a.f. - RJ,Erick Marcus dos Santos Oliveira do Carmo,Erick Marcus,16
Fluminense - RJ,Erick Nunes Barbosa dos Santos,Erick,0
São Paulo - SP,Erison Danilo de Souza,Erison,0
America Saf - MG,Esteban Rodrigo Burgos,Esteban Burgos,0
Internacional - RS,Estevao Barreto de Oliveira,Estevao,26
Palmeiras - SP,Estevao Willian Almeida de Oliveira Goncalves,Estevão,0
Flamengo - RJ,Euder Galdino da Silva,Euder,0
America Saf - MG,Everaldo Silva do Nascimento,Everaldo,37
Bahia - BA,Everaldo Stum,Everaldo,0
Atlético Mineiro - MG,Everson Felipe Marques Pires,Everson,22
Flamengo - RJ,Everton Augusto de Barros Ribeiro,Éverton Ribeiro,7
Grêmio - RS,Everton Galdino Moreira,Galdino,13
Londrina - PR,Everton Macedo Moraes,Everton,0
Goiás - GO,Everton Morelli Casimiro,Morelli,40
Flamengo - RJ,Everton Sousa Soares,Everton,11
Red Bull Bragantino - SP,Everton Tiago Barella de Souza Messias,Everton,43
Flamengo - RJ,Evertton Gustavo Fernandes Araujo,Evertton,0
Goiás - GO,Ezequiel Alves de Oliveira Vieira,Ezequiel,0
,Fabian Cornelio Balbuena Gonzalez,Balbuena,0
Botafogo - RJ,Fabiano Rodrigues Pereira,Fabiano,0
Fluminense - RJ,Fabio Deivson Lopes Maciel,Fabio,1
Grêmio - RS,Fabio Pereira da Silva,Fabio,0
Corinthians - SP,Fabio Santos Romeu,Fabio Santos,6
Palmeiras - SP,Fabio Silva de Freitas,Fabinho,35
Flamengo - RJ,Fabricio Bruno Soares de Faria,Fabricio Bruno,15
Fortaleza - CE,Fabrício Dias Afonso,Fabrício,0
