Numero,Mandante,Visitante,PontosMandante,PontosVisitante,Local,Data
81,Fluminense - RJ,Red Bull Bragantino - SP,2.0,1.0,Maracanã - Rio de Janeiro - RJ,"Domingo, 04 de Junho de 2023 16:00"
82,Vasco da Gama S.a.f. - RJ,Flamengo - RJ,1.0,4.0,Maracanã - Rio de Janeiro - RJ,"Segunda, 05 de Junho de 2023 20:00"
83,Palmeiras - SP,Coritiba S.a.f. - PR,3.0,1.0,Allianz Parque - Sao Paulo - SP,"Domingo, 04 de Junho de 2023 18:30"
84,Santos - SP,Internacional - RS,1.0,1.0,Vila Belmiro - Santos - SP,"Sábado, 03 de Junho de 2023 21:00"
85,Goiás - GO,Cuiabá Saf - MT,0.0,1.0,Hailé Pinheiro - Goiania - GO,"Domingo, 04 de Junho de 2023 18:30"
86,Cruzeiro Saf - MG,Atlético Mineiro - MG,0.0,1.0,Parque do Sabiá - Uberlandia - MG,"Sábado, 03 de Junho de 2023 18:30"
87,Grêmio - RS,São Paulo - SP,2.0,1.0,Arena do Grêmio - Porto Alegre - RS,"Domingo, 04 de Junho de 2023 16:00"
88,Athletico Paranaense - PR,Botafogo - RJ,1.0,0.0,Ligga Arena - Curitiba - PR,"Sábado, 03 de Junho de 2023 18:30"
89,Fortaleza - CE,Bahia - BA,0.0,0.0,Arena Castelão - Fortaleza - CE,"Sábado, 03 de Junho de 2023 16:00"
90,America Saf - MG,Corinthians - SP,2.0,0.0,Independência - Belo Horizonte - MG,"Sábado, 03 de Junho de 2023 18:30"
91,Flamengo - RJ,Grêmio - RS,3.0,0.0,Maracanã - Rio de Janeiro - RJ,"Domingo, 11 de Junho de 2023 18:30"
92,Botafogo - RJ,Fortaleza - CE,2.0,0.0,Nilton Santos - Rio de Janeiro - RJ,"Sábado, 10 de Junho de 2023 21:00"
93,São Paulo - SP,Palmeiras - SP,0.0,2.0,Morumbi - Sao Paulo - SP,"Domingo, 11 de Junho de 2023 16:00"
94,Corinthians - SP,Cuiabá Saf - MT,1.0,1.0,Neo Química Arena - Sao Paulo - SP,"Sábado, 10 de Junho de 2023 18:30"
95,Goiás - GO,Fluminense - RJ,2.0,2.0,Hailé Pinheiro - Goiania - GO,"Domingo, 11 de Junho de 2023 18:30"
96,Atlético Mineiro - MG,Red Bull Bragantino - SP,1.0,1.0,Mineirão - Belo Horizonte - MG,"Sábado, 10 de Junho de 2023 18:30"
97,Internacional - RS,Vasco da Gama S.a.f. - RJ,2.0,1.0,Beira-Rio - Porto Alegre - RS,"Domingo, 11 de Junho de 2023 16:00"
98,Coritiba S.a.f. - PR,Santos - SP,0.0,0.0,Couto Pereira - Curitiba - PR,"Sábado, 10 de Junho de 2023 16:00"
99,Bahia - BA,Cruzeiro Saf - MG,2.0,2.0,Arena Fonte Nova - Salvador - BA,"Sábado, 10 de Junho de 2023 18:30"
100,America Saf - MG,Athletico Paranaense - PR,2.0,2.0,Mineirão - Belo Horizonte - MG,"Domingo, 11 de Junho de 2023 11:00"
101,Fluminense - RJ,Atlético Mineiro - MG,1.0,1.0,Raulino de Oliveira - Volta Redonda - RJ,"Quarta, 21 de Junho de 2023 21:30"
102,Vasco da Gama S.a.f. - RJ,Goiás - GO,0.0,1.0,São Januário - Rio de Janeiro - RJ,"Quinta, 22 de Junho de 2023 20:00"
103,São Paulo - SP,Athletico Paranaense - PR,2.0,1.0,Morumbi - Sao Paulo - SP,"Quarta, 21 de Junho de 2023 19:00"
104,Santos - SP,Corinthians - SP,0.0,2.0,Vila Belmiro - Santos - SP,"Quarta, 21 de Junho de 2023 20:00"
105,Red Bull Bragantino - SP,Flamengo - RJ,4.0,0.0,Nabi Abi Chedid - Braganca Paulista - SP,"Quinta, 22 de Junho de 2023 21:30"
106,Cruzeiro Saf - MG,Fortaleza - CE,0.0,1.0,Mineirão - Belo Horizonte - MG,"Quarta, 21 de Junho de 2023 19:00"
107,Grêmio - RS,America Saf - MG,3.0,1.0,Arena do Grêmio - Porto Alegre - RS,"Quinta, 22 de Junho de 2023 19:00"
108,Coritiba S.a.f. - PR,Internacional - RS,0.0,1.0,Couto Pereira - Curitiba - PR,"Quinta, 22 de Junho de 2023 20:00"
109,Bahia - BA,Palmeiras - SP,1.0,0.0,Arena Fonte Nova - Salvador - BA,"Quarta, 21 de Junho de 2023 21:30"
110,Cuiabá Saf - MT,Botafogo - RJ,0.0,1.0,Arena Pantanal - Cuiaba - MT,"Quinta, 22 de Junho de 2023 20:00"
111,Fluminense - RJ,Bahia - BA,2.0,1.0,Maracanã - Rio de Janeiro - RJ,"Sábado, 24 de Junho de 2023 18:30"
112,Vasco da Gama S.a.f. - RJ,Cuiabá Saf - MT,1.0,0.0,Luso Brasileiro - Rio de Janeiro - RJ,"Segunda, 26 de Junho de 2023 21:00"
113,Palmeiras - SP,Botafogo - RJ,0.0,1.0,Allianz Parque - Sao Paulo - SP,"Domingo, 25 de Junho de 2023 16:00"
114,Santos - SP,Flamengo - RJ,2.0,3.0,Vila Belmiro - Santos - SP,"Domingo, 25 de Junho de 2023 18:30"
115,Red Bull Bragantino - SP,Goiás - GO,2.0,0.0,Nabi Abi Chedid - Braganca Paulista - SP,"Domingo, 25 de Junho de 2023 18:30"
116,Cruzeiro Saf - MG,São Paulo - SP,1.0,0.0,Independência - Belo Horizonte - MG,"Sábado, 24 de Junho de 2023 21:00"
117,Grêmio - RS,Coritiba S.a.f. - PR,5.0,1.0,Arena do Grêmio - Porto Alegre - RS,"Domingo, 25 de Junho de 2023 16:00"
118,Athletico Paranaense - PR,Corinthians - SP,1.0,0.0,Ligga Arena - Curitiba - PR,"Sábado, 24 de Junho de 2023 16:00"
119,Fortaleza - CE,Atlético Mineiro - MG,2.0,1.0,Arena Castelão - Fortaleza - CE,"Sábado, 24 de Junho de 2023 18:30"
120,America Saf - MG,Internacional - RS,1.0,2.0,Independência - Belo Horizonte - MG,"Domingo, 25 de Junho de 2023 18:30"
121,Flamengo - RJ,Fortaleza - CE,2.0,0.0,Maracanã - Rio de Janeiro - RJ,"Sábado, 01 de Julho de 2023 18:30"
122,Botafogo - RJ,Vasco da Gama S.a.f. - RJ,2.0,0.0,Nilton Santos - Rio de Janeiro - RJ,"Domingo, 02 de Julho de 2023 16:00"
123,São Paulo - SP,Fluminense - RJ,1.0,0.0,Morumbi - Sao Paulo - SP,"Sábado, 01 de Julho de 2023 16:00"
124,Corinthians - SP,Red Bull Bragantino - SP,0.0,1.0,Neo Química Arena - Sao Paulo - SP,"Domingo, 02 de Julho de 2023 11:00"
125,Goiás - GO,Coritiba S.a.f. - PR,1.0,2.0,Hailé Pinheiro - Goiania - GO,"Segunda, 03 de Julho de 2023 20:00"
126,Atlético Mineiro - MG,America Saf - MG,2.0,2.0,Mineirão - Belo Horizonte - MG,"Domingo, 02 de Julho de 2023 16:00"
