NPartida,Time,Camisa,Apelido,href
4,Corinthians - SP,11,Angel Romero,https://www.cbf.com.br/futebol-brasileiro/atletas/507462?exercicio=2023
4,Corinthians - SP,31,Balbuena,https://www.cbf.com.br/futebol-brasileiro/atletas/541574?exercicio=2023
4,Cruzeiro Saf - MG,98,Anderson Paixão,https://www.cbf.com.br/futebol-brasileiro/atletas/311316?exercicio=2023
4,Cruzeiro Saf - MG,8,Neto,https://www.cbf.com.br/futebol-brasileiro/atletas/383527?exercicio=2023
4,Cruzeiro Saf - MG,5,Wallisson,https://www.cbf.com.br/futebol-brasileiro/atletas/532986?exercicio=2023
4,Cruzeiro Saf - MG,27,Neris,https://www.cbf.com.br/futebol-brasileiro/atletas/333318?exercicio=2023
4,Cruzeiro Saf - MG,16,Kaiki Bruno,https://www.cbf.com.br/futebol-brasileiro/atletas/541008?exercicio=2023
4,Cruzeiro Saf - MG,18,Matheus,https://www.cbf.com.br/futebol-brasileiro/atletas/376217?exercicio=2023
4,Cruzeiro Saf - MG,33,Igor Marques Paciencia Cardoso,https://www.cbf.com.br/futebol-brasileiro/atletas/460331?exercicio=2023
4,Cruzeiro Saf - MG,22,Stênio,https://www.cbf.com.br/futebol-brasileiro/atletas/568151?exercicio=2023
4,Cruzeiro Saf - MG,48,Daniel JR,https://www.cbf.com.br/futebol-brasileiro/atletas/551333?exercicio=2023
5,Red Bull Bragantino - SP,40,Lucão,https://www.cbf.com.br/futebol-brasileiro/atletas/523351?exercicio=2023
5,Red Bull Bragantino - SP,17,Bruninho,https://www.cbf.com.br/futebol-brasileiro/atletas/567173?exercicio=2023
5,Red Bull Bragantino - SP,29,J. Capixaba,https://www.cbf.com.br/futebol-brasileiro/atletas/402681?exercicio=2023
5,Red Bull Bragantino - SP,4,Natan,https://www.cbf.com.br/futebol-brasileiro/atletas/538649?exercicio=2023
5,Red Bull Bragantino - SP,13,Aderlan,https://www.cbf.com.br/futebol-brasileiro/atletas/291939?exercicio=2023
5,Red Bull Bragantino - SP,9,Alerrandro,https://www.cbf.com.br/futebol-brasileiro/atletas/441844?exercicio=2023
5,Red Bull Bragantino - SP,19,Eduardo Sasha,https://www.cbf.com.br/futebol-brasileiro/atletas/295792?exercicio=2023
5,Red Bull Bragantino - SP,2,Léo Realpe,https://www.cbf.com.br/futebol-brasileiro/atletas/691587?exercicio=2023
5,Red Bull Bragantino - SP,26,Eduardo,https://www.cbf.com.br/futebol-brasileiro/atletas/419374?exercicio=2023
5,Red Bull Bragantino - SP,21,Talisson,https://www.cbf.com.br/futebol-brasileiro/atletas/650186?exercicio=2023
5,Red Bull Bragantino - SP,16,Henry Mosquera,https://www.cbf.com.br/futebol-brasileiro/atletas/802129?exercicio=2023
5,Red Bull Bragantino - SP,35,Matheus Fernandes,https://www.cbf.com.br/futebol-brasileiro/atletas/320263?exercicio=2023
